connection,I_integrate,n_convergence,I_conv
CP2CP,-0.7794834714976526,76.5,-59.630485569570425
CP2CS,-0.7186795938948343,8.7,-6.252512466885058
CS2CS,-0.2741553110468339,66.2,-18.149081591300405
CS2CP,-0.29735021753738,97.6,-29.021381231648288
CP2FSI,-0.11375630834016989,211.7,-24.082210475613966
CS2FSI,-0.14422398310380688,144.4,-20.825943160189713
CP2LTS,-0.026187497664231455,187.2,-4.902299562744128
CS2LTS,-0.04166151340830898,85.5,-3.562059396410418
FSI2CP,0.11934395738870457,39.9,4.761823899809312
FSI2CS,0.1491799415750996,30.0,4.475398247252988
LTS2CP,0.5599675591971767,21.3,11.927309010899863
LTS2CS,0.8696703424074972,5.0,4.348351712037486
FSI2FSI,0.14634090844861164,22.8,3.3365727126283455
FSI2LTS,0.10243868179610177,39.5,4.04632793094602
LTS2FSI,0.09819479009427125,40.9,4.0161669148556935
LTS2LTS,0.3506957595705557,11.6,4.068070811018446
Thal2CP,-3.296743460006632,1.0,-3.296743460006632
Thal2CS,-4.859683340008298,1.0,-4.859683340008298
Base2FSI,-0.6676942081679089,1.0,-0.6676942081679089
Base2LTS,-0.873310666673525,1.0,-0.873310666673525
